strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
N,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
O,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
P,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
,,,,,,,,,,,,,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
DHBA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
F,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
G,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
H,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
I,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50
J,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50
K,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50
L,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50
M,0,0,0,0,0,0,0,0,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250
N,0,0,0,0,0,0,0,0,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250
O,0,0,0,0,0,0,0,0,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250
P,0,0,0,0,0,0,0,0,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250
,,,,,,,,,,,,,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
J,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
