strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
P,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
,,,,,,,,,,,,,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
B,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
C,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
D,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
E,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
F,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
G,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
H,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
I,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
J,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
K,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
L,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
M,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
N,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
O,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
P,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5,0,0.2,0.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,
DHBA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
H,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
I,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
J,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
K,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
